nds,14720
mom,14675
pit,14668
cin,14654
cul,14646
dés,14644
yan,14626
trè,14618
doi,14600
ula,14578
rni,14567
ima,14565
ote,14533
uli,14520
roy,14500
uat,14467
hai,14435
st-,14418
miè,14313
dep,14308
epu,14308
col,14285
uiv,14270
nch,14252
'or,14240
mit,14221
bar,14218
aro,14089
lic,14088
tal,14082
n'y,14030
bel,14005
pel,13968
lis,13944
cep,13937
pei,13935
inq,13928
pay,13865
ann,13850
s'i,13840
ffe,13839
bas,13816
env,13797
viv,13777
upe,13759
lei,13744
bit,13731
vel,13711
amo,13711
tér,13703
ési,13459
iff,13449
rev,13444
sib,13433
rmi,13360
uni,13323
dui,13305
tim,13277
nça,13232
sée,13152
mèr,13113
hab,13112
fac,13099
sau,13072
ffi,13045
rma,12932
dif,12910
uff,12907
uge,12902
côt,12861
l'u,12860
vem,12855
dée,12825
arq,12822
tom,12809
déc,12809
rtu,12742
u'a,12722
rui,12710
ffr,12689
ngt,12625
éci,12622
eût,12617
mpr,12612
ori,12596
erd,12591
déj,12569
bor,12568
mag,12544
ucu,12467
fic,12453
niè,12446
cte,12446
'êt,12442
bat,12435
tud,12433
ché,12391
nue,12375
nui,12364
spr,12343
rof,12322
'am,12305
urr,12289
ies,12288
ssu,12242
étr,12228
chi,12213
bes,12182
din,12171
bri,12150
rsq,12146
n'é,12136
exp,12135
von,12095
euv,12095
som,12066
ngl,12061
rdr,12044
rto,12031
ut-,12017
cau,12014
ere,11989
d'o,11953
ppo,11896
meu,11879
omt,11872
rag,11811
sal,11788
dra,11786
lli,11782
hon,11721
éte,11717
tés,11641
maî,11632
rda,11617
pai,11616
d'h,11604
mte,11597
rue,11595
çon,11574
éco,11571
'ap,11560
amp,11518
vic,11515
s'a,11505
nal,11465
duc,11454
cat,11447
tta,11442
nis,11411
gna,11394
oue,11335
éjà,11296
liq,11288
ape,11236
olu,11193
cap,11108
mur,11092
acc,11090
olo,11062
ian,11061
t-c,11059
bru,11056
sus,11042
hui,11038
anç,11002
gré,10985
aff,10982
ult,10981
ére,10977
upl,10971
ièc,10917
eri,10902
liv,10892
nnu,10889
ui-,10845
mau,10802
ays,10801
dép,10801
'éc,10799
aya,10798
esc,10796
evi,10776
m'a,10757
ied,10706
ets,10687
pte,10683
hor,10664
ala,10624
rmé,10606
'an,10603
fro,10584
-êt,10579
ppa,10577
rvi,10563
uco,10533
igu,10528
rts,10465
tré,10444
lum,10431
rté,10404
sel,10391
mée,10382
'ab,10357
émo,10349
ôté,10338
riè,10327
rve,10326
nor,10311
èce,10294
orp,10270
gro,10251
eup,10244
t-ê,10221
yen,10209
nit,10164
tue,10163
siè,10145
cit,10105
nve,10097
fet,10076
çai,10070
fus,10062
til,10049
sup,10031
-ce,10030
fér,10028
fou,10000
agi,9994
cur,9969
tic,9956
noi,9925
eto,9902
rps,9874
yai,9857
anq,9832
ich,9807
epe,9781
rut,9743
nvi,9742
i-m,9735
tis,9727
evo,9713
avi,9703
nsé,9685
mba,9664
phi,9609
his,9608
raî,9538
cil,9534
mbe,9529
rol,9521
div,9474
cra,9473
ora,9462
adi,9434
urd,9430
ueu,9428
vér,9415
off,9412
fle,9380
éch,9356
pol,9343
osi,9343
aud,9335
gle,9335
tor,9315
spo,9314
spe,9308
irs,9269
vir,9266
ost,9244
rab,9243
tea,9236
cre,9227
efo,9226
fur,9208
rna,9179
ode,9167
onv,9154
ilà,9137
ème,9119
cas,9082
haq,9080
uto,9058
fam,9040
hum,9040
vos,9025
ica,9025
écl,9023
ean,9022
sté,9019
mpt,8997
uvo,8993
ext,8990
hem,8981
pub,8972
iei,8971
moy,8959
vea,8948
ept,8941
can,8915
feu,8902
eig,8896
ppr,8887
'ex,8875
iét,8874
ves,8857
ats,8853
lib,8833
opr,8818
âme,8809
déf,8795
rév,8783
sat,8763
'em,8747
oub,8722
mpe,8715
tèr,8713
occ,8709
coe,8706
elo,8700
vei,8699
rus,8667
ige,8657
arb,8656
hap,8641
laq,8611
mir,8609
cip,8603
rib,8593
pat,8584
hie,8567
rod,8549
sim,8519
ete,8511
tiè,8505
lég,8488
igi,8469
vri,8453
rse,8452
-de,8428
éga,8412
d'ê,8403
aci,8392
itr,8383
llu,8383
ffa,8377
jug,8358
nel,8337
spa,8337
sci,8314
els,8312
eté,8284
alh,8250
lhe,8250
sac,8250
'eu,8245
icu,8207
éto,8176
ulu,8174
fen,8159
exi,8137
itt,8134
oig,8104
éli,8092
gou,8084
sis,8070
eli,8068
